2016/12/5,12.7
2016/12/6,10.8
2016/12/7,7.5
2016/12/8,8.6
2016/12/9,11.1
2016/12/10,8.5
2016/12/11,6.8
2016/12/12,7
2016/12/13,9.4
2016/12/14,8.1
2016/12/15,6.2
2016/12/16,4.8
2016/12/17,6.7
2016/12/18,8.2
2016/12/19,10
2016/12/20,9.6
2016/12/21,10.5
2016/12/22,14.6
2016/12/23,14
2016/12/24,8.6
2016/12/25,6.6
2016/12/26,6.9
2016/12/27,11.1
2016/12/28,6
2016/12/29,4.3
2016/12/30,6
2016/12/31,6.3
2017/1/1,7.4
2017/1/2,7.2
2017/1/3,8
2017/1/4,8.5
2017/1/5,6.7
2017/1/6,4.5
2017/1/7,4.1
2017/1/8,3.9
2017/1/9,7.2
2017/1/10,8.1
2017/1/11,6.9
2017/1/12,6
2017/1/13,6.2
2017/1/14,2.4
2017/1/15,0.7
2017/1/16,3.2
2017/1/17,5.4
2017/1/18,5.8
2017/1/19,6.4
2017/1/20,3
2017/1/21,5.9
2017/1/22,6
2017/1/23,4
2017/1/24,2.5
2017/1/25,3.9
2017/1/26,4.6
2017/1/27,8.8
2017/1/28,8.4
2017/1/29,8
2017/1/30,11.2
2017/1/31,5.9
2017/2/1,6
2017/2/2,4.5
2017/2/3,7.4
2017/2/4,8.2
2017/2/5,7.2
2017/2/6,8.7
2017/2/7,5.6
2017/2/8,6.3
2017/2/9,2.4
2017/2/10,4.3
2017/2/11,4.1
2017/2/12,5
2017/2/13,6.3
2017/2/14,6.1
2017/2/15,6.5
2017/2/16,7.3
2017/2/17,13.2
2017/2/18,8.1
2017/2/19,6.2
2017/2/20,9.9
2017/2/21,6.1
2017/2/22,7
2017/2/23,12.4
2017/2/24,7.4
2017/2/25,7.5
2017/2/26,8.6
2017/2/27,6.2
2017/2/28,5.5
2017/3/1,6.4
2017/3/2,6.8
2017/3/3,8.7
2017/3/4,8.7
2017/3/5,10.4
2017/3/6,9.3
2017/3/7,6.6
2017/3/8,5.5
2017/3/9,7.5
2017/3/10,8.6
2017/3/11,7.9
2017/3/12,7.6
2017/3/13,8.8
2017/3/14,8.1
2017/3/15,5.4
2017/3/16,8.2
